,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
222,us-east-1b,r5d.4xlarge,8,0.6207,0.08196250000000001,2024-01-26 17:02:12+00:00
223,us-east-1b,c5d.18xlarge,15,1.4398,0.10065333333333333,2024-01-26 17:02:12+00:00
224,us-east-1d,r7g.4xlarge,8,0.4315,0.0583125,2024-01-26 17:02:11+00:00
225,us-east-1c,r5a.16xlarge,15,1.7218,0.11945333333333334,2024-01-26 17:02:11+00:00
226,us-east-1a,m6a.xlarge,4,0.0898,0.0262,2024-01-26 17:02:11+00:00
227,us-east-1b,i4i.4xlarge,8,0.6295,0.0830625,2024-01-26 17:02:11+00:00
228,us-east-1d,r3.8xlarge,8,1.0595,0.1368125,2024-01-26 17:02:11+00:00
229,us-east-1b,m5a.xlarge,4,0.0877,0.025675,2024-01-26 17:02:11+00:00
230,us-east-1a,m5a.xlarge,4,0.09,0.02625,2024-01-26 17:02:11+00:00
231,us-east-1c,m5a.xlarge,4,0.0931,0.027025,2024-01-26 17:02:11+00:00
232,us-east-1d,r7a.8xlarge,8,1.3323,0.1709125,2024-01-26 17:02:10+00:00
233,us-east-1a,a1.xlarge,4,0.0588,0.01845,2024-01-26 17:02:10+00:00
234,us-east-1f,r4.xlarge,4,0.1242,0.0348,2024-01-26 17:02:10+00:00
235,us-east-1c,r4.xlarge,4,0.1584,0.04335,2024-01-26 17:02:10+00:00
236,us-east-1b,c6gd.16xlarge,15,1.1186,0.07924,2024-01-26 17:02:09+00:00
237,us-east-1f,c6gd.16xlarge,15,0.9484,0.06789333333333333,2024-01-26 17:02:09+00:00
238,us-east-1d,c6gd.16xlarge,15,1.1834,0.08356000000000001,2024-01-26 17:02:09+00:00
239,us-east-1f,c4.4xlarge,8,0.3648,0.049975000000000006,2024-01-26 17:02:09+00:00
240,us-east-1a,c5a.4xlarge,8,0.3232,0.044774999999999995,2024-01-26 17:02:08+00:00
241,us-east-1b,r5a.large,3,0.0546,0.021533333333333335,2024-01-26 17:02:07+00:00
242,us-east-1a,m6idn.8xlarge,8,1.2343,0.15866249999999998,2024-01-26 17:02:06+00:00
243,us-east-1a,c5d.2xlarge,4,0.2147,0.057425000000000004,2024-01-26 17:02:06+00:00
244,us-east-1c,m5d.4xlarge,8,0.4426,0.0597,2024-01-26 17:02:05+00:00
245,us-east-1f,i4i.2xlarge,4,0.2931,0.07702500000000001,2024-01-26 17:02:05+00:00
246,us-east-1d,m4.4xlarge,8,0.3699,0.050612500000000005,2024-01-26 17:02:05+00:00
247,us-east-1c,m6id.xlarge,4,0.1166,0.0329,2024-01-26 17:02:05+00:00
248,us-east-1d,c6i.4xlarge,8,0.3082,0.042899999999999994,2024-01-26 17:02:05+00:00
249,us-east-1f,i3en.6xlarge,8,0.9708,0.125725,2024-01-26 17:02:04+00:00
250,us-east-1a,m6i.16xlarge,15,1.3207,0.09271333333333334,2024-01-26 17:02:04+00:00
251,us-east-1b,r6in.8xlarge,8,2.0423,0.2596625,2024-01-26 17:02:03+00:00
252,us-east-1f,r6in.8xlarge,8,1.9111,0.2432625,2024-01-26 17:02:03+00:00
253,us-east-1f,i3en.2xlarge,4,0.4704,0.12135,2024-01-26 17:02:02+00:00
