,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
750,750,US East,M192is_v2 Spot,1,1.5611,1.5611,2023-08-01 00:00:00+00:00,Azure
854,854,US East,M32s Spot,1,0.3335,0.3335,2023-08-01 00:00:00+00:00,Azure
46,46,US East,Standard_HB120-32rs_v2 Spot,8,0.912,0.154,2023-08-01 00:00:00+00:00,Azure
617,617,US East,M16s Spot,1,0.3123,0.3123,2023-08-01 00:00:00+00:00,Azure
1389,1389,US East,NV12s v3 Spot,1,0.1692,0.1692,2023-08-01 00:00:00+00:00,Azure
944,944,US East,M32-16ms Spot,1,0.84276,0.84276,2023-08-01 00:00:00+00:00,Azure
308,308,US East,M8-4ms Spot,1,0.21069,0.21069,2023-08-01 00:00:00+00:00,Azure
307,307,US East,M128ms Spot,1,3.5814,3.5814,2023-08-01 00:00:00+00:00,Azure
15,15,US East,M8-2ms Spot,1,0.15365,0.15365,2023-08-01 00:00:00+00:00,Azure
310,310,US East,M64-16ms Spot,1,1.4641,1.4641,2023-08-01 00:00:00+00:00,Azure
